qid,form_id,form_type,lang,type,question,answer
F0000-r-elig-te,F0000,scholarship,te,reasoning,"ఆదాయ పరిమితి మరియు కుటుంబ పరిమాణ నియమం ఆధారంగా, ఈ దరఖాస్తుదారు అర్హులా? అవును లేదా కాదు అని సమాధానం ఇవ్వండి.",yes
F0000-r-elig-ta,F0000,scholarship,ta,reasoning,"வருமான வரம்பு மற்றும் குடும்ப அளவு விதியின் அடிப்படையில், இந்த விண்ணப்பதாரர் தகுதியானவரா? ஆம் அல்லது இல்லை என பதிலளிக்கவும்.",yes
F0000-r-elig-mr,F0000,scholarship,mr,reasoning,"उत्पन्न मर्यादा आणि कुटुंब आकाराच्या नियमानुसार, हा अर्जदार पात्र आहे का? होय किंवा नाही उत्तर द्या.",yes
F0000-r-elig-kn,F0000,scholarship,kn,reasoning,"ಆದಾಯ ಮಿತಿ ಮತ್ತು ಕುಟುಂಬ ಗಾತ್ರದ ನಿಯಮದ ಆಧಾರದ ಮೇಲೆ, ಈ ಅರ್ಜಿದಾರರು ಅರ್ಹರೇ? ಹೌದು ಅಥವಾ ಇಲ್ಲ ಎಂದು ಉತ್ತರಿಸಿ.",yes
F0001-x-applicant_name-en,F0001,scholarship,en,extraction,Applicant Name?,Anjali Patil
F0001-x-applicant_name-hi,F0001,scholarship,hi,extraction,आवेदक का नाम?,अंजली पाटील
F0001-x-applicant_name-bn,F0001,scholarship,bn,extraction,আবেদনকারীর নাম?,অঞ্জলি পাটিল
F0001-x-applicant_name-te,F0001,scholarship,te,extraction,దరఖాస్తుదారు పేరు?,అంజలి పాటిల్
F0001-x-applicant_name-ta,F0001,scholarship,ta,extraction,விண்ணப்பதாரர் பெயர்?,அஞ்சலி பாட்டீல்
F0001-x-applicant_name-mr,F0001,scholarship,mr,extraction,अर्जदाराचे नाव?,अंजली पाटील
F0001-x-applicant_name-kn,F0001,scholarship,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಅಂಜಲಿ ಪಾಟೀಲ್
F0001-x-district-en,F0001,scholarship,en,extraction,District?,Visakhapatnam
F0001-x-district-hi,F0001,scholarship,hi,extraction,जिला?,विशाखापत्तनम
F0001-x-district-bn,F0001,scholarship,bn,extraction,জেলা?,বিশাখাপত্তনম
F0001-x-district-te,F0001,scholarship,te,extraction,జిల్లా?,విశాఖపట్నం
F0001-x-district-ta,F0001,scholarship,ta,extraction,மாவட்டம்?,விசாகப்பட்டினம்
F0001-x-district-mr,F0001,scholarship,mr,extraction,जिल्हा?,विशाखापट्टणम
F0001-x-district-kn,F0001,scholarship,kn,extraction,ಜಿಲ್ಲೆ?,ವಿಶಾಖಪಟ್ಟಣಂ
F0001-x-annual_income-en,F0001,scholarship,en,extraction,Annual Income (Rs.)?,310000
F0001-x-annual_income-hi,F0001,scholarship,hi,extraction,वार्षिक आय (रु.)?,310000
F0001-x-annual_income-bn,F0001,scholarship,bn,extraction,বার্ষিক আয় (টাকা)?,310000
F0001-x-annual_income-te,F0001,scholarship,te,extraction,వార్షిక ఆదాయం (రూ.)?,310000
F0001-x-annual_income-ta,F0001,scholarship,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,310000
F0001-x-annual_income-mr,F0001,scholarship,mr,extraction,वार्षिक उत्पन्न (रु.)?,310000
F0001-x-annual_income-kn,F0001,scholarship,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,310000
F0001-x-family_members-en,F0001,scholarship,en,extraction,Number of Family Members?,6
F0001-x-family_members-hi,F0001,scholarship,hi,extraction,परिवार के सदस्यों की संख्या?,6
F0001-x-family_members-bn,F0001,scholarship,bn,extraction,পরিবারের সদস্য সংখ্যা?,6
F0001-x-family_members-te,F0001,scholarship,te,extraction,కుటుంబ సభ్యుల సంఖ్య?,6
F0001-x-family_members-ta,F0001,scholarship,ta,extraction,குடும்ப உறுப்பினர்கள் எண்ணிக்கை?,6
F0001-x-family_members-mr,F0001,scholarship,mr,extraction,कुटुंब सदस्यांची संख्या?,6
F0001-x-family_members-kn,F0001,scholarship,kn,extraction,ಕುಟುಂಬ ಸದಸ್ಯರ ಸಂಖ್ಯೆ?,6
F0001-x-category-en,F0001,scholarship,en,extraction,Category?,SC
F0001-x-category-hi,F0001,scholarship,hi,extraction,श्रेणी?,SC
F0001-x-category-bn,F0001,scholarship,bn,extraction,শ্রেণী?,SC
F0001-x-category-te,F0001,scholarship,te,extraction,వర్గం?,SC
F0001-x-category-ta,F0001,scholarship,ta,extraction,பிரிவு?,SC
F0001-x-category-mr,F0001,scholarship,mr,extraction,प्रवर्ग?,SC
F0001-x-category-kn,F0001,scholarship,kn,extraction,ವರ್ಗ?,SC
F0001-r-elig-en,F0001,scholarship,en,reasoning,"Based on the income cap and household size rule, is this applicant eligible? Answer yes or no.",no
F0001-r-elig-hi,F0001,scholarship,hi,reasoning,"आय सीमा और परिवार के आकार के नियम के आधार पर, क्या यह आवेदक पात्र है? हाँ या नहीं में उत्तर दें।",no
F0001-r-elig-bn,F0001,scholarship,bn,reasoning,"আয়ের সীমা এবং পরিবারের আকারের নিয়ম অনুসারে, এই আবেদনকারী কি যোগ্য? হ্যাঁ বা না উত্তর দিন।",no
F0001-r-elig-te,F0001,scholarship,te,reasoning,"ఆదాయ పరిమితి మరియు కుటుంబ పరిమాణ నియమం ఆధారంగా, ఈ దరఖాస్తుదారు అర్హులా? అవును లేదా కాదు అని సమాధానం ఇవ్వండి.",no
F0001-r-elig-ta,F0001,scholarship,ta,reasoning,"வருமான வரம்பு மற்றும் குடும்ப அளவு விதியின் அடிப்படையில், இந்த விண்ணப்பதாரர் தகுதியானவரா? ஆம் அல்லது இல்லை என பதிலளிக்கவும்.",no
F0001-r-elig-mr,F0001,scholarship,mr,reasoning,"उत्पन्न मर्यादा आणि कुटुंब आकाराच्या नियमानुसार, हा अर्जदार पात्र आहे का? होय किंवा नाही उत्तर द्या.",no
F0001-r-elig-kn,F0001,scholarship,kn,reasoning,"ಆದಾಯ ಮಿತಿ ಮತ್ತು ಕುಟುಂಬ ಗಾತ್ರದ ನಿಯಮದ ಆಧಾರದ ಮೇಲೆ, ಈ ಅರ್ಜಿದಾರರು ಅರ್ಹರೇ? ಹೌದು ಅಥವಾ ಇಲ್ಲ ಎಂದು ಉತ್ತರಿಸಿ.",no
F0002-x-applicant_name-en,F0002,scholarship,en,extraction,Applicant Name?,Suresh Rao
F0002-x-applicant_name-hi,F0002,scholarship,hi,extraction,आवेदक का नाम?,सुरेश राव
F0002-x-applicant_name-bn,F0002,scholarship,bn,extraction,আবেদনকারীর নাম?,সুরেশ রাও
F0002-x-applicant_name-te,F0002,scholarship,te,extraction,దరఖాస్తుదారు పేరు?,సురేష్ రావు
F0002-x-applicant_name-ta,F0002,scholarship,ta,extraction,விண்ணப்பதாரர் பெயர்?,சுரேஷ் ராவ்
F0002-x-applicant_name-mr,F0002,scholarship,mr,extraction,अर्जदाराचे नाव?,सुरेश राव
F0002-x-applicant_name-kn,F0002,scholarship,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಸುರೇಶ್ ರಾವ್
F0002-x-district-en,F0002,scholarship,en,extraction,District?,Nashik
F0002-x-district-hi,F0002,scholarship,hi,extraction,जिला?,नाशिक
F0002-x-district-bn,F0002,scholarship,bn,extraction,জেলা?,নাসিক
F0002-x-district-te,F0002,scholarship,te,extraction,జిల్లా?,నాసిక్
F0002-x-district-ta,F0002,scholarship,ta,extraction,மாவட்டம்?,நாசிக்
F0002-x-district-mr,F0002,scholarship,mr,extraction,जिल्हा?,नाशिक
F0002-x-district-kn,F0002,scholarship,kn,extraction,ಜಿಲ್ಲೆ?,ನಾಸಿಕ್
F0002-x-annual_income-en,F0002,scholarship,en,extraction,Annual Income (Rs.)?,72000
F0002-x-annual_income-hi,F0002,scholarship,hi,extraction,वार्षिक आय (रु.)?,72000
F0002-x-annual_income-bn,F0002,scholarship,bn,extraction,বার্ষিক আয় (টাকা)?,72000
F0002-x-annual_income-te,F0002,scholarship,te,extraction,వార్షిక ఆదాయం (రూ.)?,72000
F0002-x-annual_income-ta,F0002,scholarship,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,72000
F0002-x-annual_income-mr,F0002,scholarship,mr,extraction,वार्षिक उत्पन्न (रु.)?,72000
F0002-x-annual_income-kn,F0002,scholarship,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,72000
F0002-x-family_members-en,F0002,scholarship,en,extraction,Number of Family Members?,4
F0002-x-family_members-hi,F0002,scholarship,hi,extraction,परिवार के सदस्यों की संख्या?,4
F0002-x-family_members-bn,F0002,scholarship,bn,extraction,পরিবারের সদস্য সংখ্যা?,4
F0002-x-family_members-te,F0002,scholarship,te,extraction,కుటుంబ సభ్యుల సంఖ్య?,4
F0002-x-family_members-ta,F0002,scholarship,ta,extraction,குடும்ப உறுப்பினர்கள் எண்ணிக்கை?,4
F0002-x-family_members-mr,F0002,scholarship,mr,extraction,कुटुंब सदस्यांची संख्या?,4
F0002-x-family_members-kn,F0002,scholarship,kn,extraction,ಕುಟುಂಬ ಸದಸ್ಯರ ಸಂಖ್ಯೆ?,4
F0002-x-category-en,F0002,scholarship,en,extraction,Category?,ST
F0002-x-category-hi,F0002,scholarship,hi,extraction,श्रेणी?,ST
F0002-x-category-bn,F0002,scholarship,bn,extraction,শ্রেণী?,ST
F0002-x-category-te,F0002,scholarship,te,extraction,వర్గం?,ST
F0002-x-category-ta,F0002,scholarship,ta,extraction,பிரிவு?,ST
F0002-x-category-mr,F0002,scholarship,mr,extraction,प्रवर्ग?,ST
F0002-x-category-kn,F0002,scholarship,kn,extraction,ವರ್ಗ?,ST
F0002-r-elig-en,F0002,scholarship,en,reasoning,"Based on the income cap and household size rule, is this applicant eligible? Answer yes or no.",yes
F0002-r-elig-hi,F0002,scholarship,hi,reasoning,"आय सीमा और परिवार के आकार के नियम के आधार पर, क्या यह आवेदक पात्र है? हाँ या नहीं में उत्तर दें।",yes
F0002-r-elig-bn,F0002,scholarship,bn,reasoning,"আয়ের সীমা এবং পরিবারের আকারের নিয়ম অনুসারে, এই আবেদনকারী কি যোগ্য? হ্যাঁ বা না উত্তর দিন।",yes
F0002-r-elig-te,F0002,scholarship,te,reasoning,"ఆదాయ పరిమితి మరియు కుటుంబ పరిమాణ నియమం ఆధారంగా, ఈ దరఖాస్తుదారు అర్హులా? అవును లేదా కాదు అని సమాధానం ఇవ్వండి.",yes
F0002-r-elig-ta,F0002,scholarship,ta,reasoning,"வருமான வரம்பு மற்றும் குடும்ப அளவு விதியின் அடிப்படையில், இந்த விண்ணப்பதாரர் தகுதியானவரா? ஆம் அல்லது இல்லை என பதிலளிக்கவும்.",yes
F0002-r-elig-mr,F0002,scholarship,mr,reasoning,"उत्पन्न मर्यादा आणि कुटुंब आकाराच्या नियमानुसार, हा अर्जदार पात्र आहे का? होय किंवा नाही उत्तर द्या.",yes
F0002-r-elig-kn,F0002,scholarship,kn,reasoning,"ಆದಾಯ ಮಿತಿ ಮತ್ತು ಕುಟುಂಬ ಗಾತ್ರದ ನಿಯಮದ ಆಧಾರದ ಮೇಲೆ, ಈ ಅರ್ಜಿದಾರರು ಅರ್ಹರೇ? ಹೌದು ಅಥವಾ ಇಲ್ಲ ಎಂದು ಉತ್ತರಿಸಿ.",yes
F0003-x-applicant_name-en,F0003,ration_card,en,extraction,Applicant Name?,Fatima Begum
F0003-x-applicant_name-hi,F0003,ration_card,hi,extraction,आवेदक का नाम?,फ़ातिमा बेगम
F0003-x-applicant_name-bn,F0003,ration_card,bn,extraction,আবেদনকারীর নাম?,ফাতিমা বেগম
F0003-x-applicant_name-te,F0003,ration_card,te,extraction,దరఖాస్తుదారు పేరు?,ఫాతిమా బేగం
F0003-x-applicant_name-ta,F0003,ration_card,ta,extraction,விண்ணப்பதாரர் பெயர்?,பாத்திமா பேகம்
F0003-x-applicant_name-mr,F0003,ration_card,mr,extraction,अर्जदाराचे नाव?,फातिमा बेगम
F0003-x-applicant_name-kn,F0003,ration_card,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಫಾತಿಮಾ ಬೇಗಂ
F0003-x-district-en,F0003,ration_card,en,extraction,District?,Guntur
F0003-x-district-hi,F0003,ration_card,hi,extraction,जिला?,गुंटूर
F0003-x-district-bn,F0003,ration_card,bn,extraction,জেলা?,গুন্টুর
F0003-x-district-te,F0003,ration_card,te,extraction,జిల్లా?,గుంటూరు
F0003-x-district-ta,F0003,ration_card,ta,extraction,மாவட்டம்?,குண்டூர்
F0003-x-district-mr,F0003,ration_card,mr,extraction,जिल्हा?,गुंटूर
F0003-x-district-kn,F0003,ration_card,kn,extraction,ಜಿಲ್ಲೆ?,ಗುಂಟೂರು
F0003-x-annual_income-en,F0003,ration_card,en,extraction,Annual Income (Rs.)?,96000
F0003-x-annual_income-hi,F0003,ration_card,hi,extraction,वार्षिक आय (रु.)?,96000
F0003-x-annual_income-bn,F0003,ration_card,bn,extraction,বার্ষিক আয় (টাকা)?,96000
F0003-x-annual_income-te,F0003,ration_card,te,extraction,వార్షిక ఆదాయం (రూ.)?,96000
F0003-x-annual_income-ta,F0003,ration_card,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,96000
F0003-x-annual_income-mr,F0003,ration_card,mr,extraction,वार्षिक उत्पन्न (रु.)?,96000
F0003-x-annual_income-kn,F0003,ration_card,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,96000
F0003-x-family_members-en,F0003,ration_card,en,extraction,Number of Family Members?,8
F0003-x-family_members-hi,F0003,ration_card,hi,extraction,परिवार के सदस्यों की संख्या?,8
F0003-x-family_members-bn,F0003,ration_card,bn,extraction,পরিবারের সদস্য সংখ্যা?,8
F0003-x-family_members-te,F0003,ration_card,te,extraction,కుటుంబ సభ్యుల సంఖ్య?,8
F0003-x-family_members-ta,F0003,ration_card,ta,extraction,குடும்ப உறுப்பினர்கள் எண்ணிக்கை?,8
F0003-x-family_members-mr,F0003,ration_card,mr,extraction,कुटुंब सदस्यांची संख्या?,8
F0003-x-family_members-kn,F0003,ration_card,kn,extraction,ಕುಟುಂಬ ಸದಸ್ಯರ ಸಂಖ್ಯೆ?,8
F0003-x-category-en,F0003,ration_card,en,extraction,Category?,EWS
F0003-x-category-hi,F0003,ration_card,hi,extraction,श्रेणी?,EWS
F0003-x-category-bn,F0003,ration_card,bn,extraction,শ্রেণী?,EWS
F0003-x-category-te,F0003,ration_card,te,extraction,వర్గం?,EWS
F0003-x-category-ta,F0003,ration_card,ta,extraction,பிரிவு?,EWS
F0003-x-category-mr,F0003,ration_card,mr,extraction,प्रवर्ग?,EWS
F0003-x-category-kn,F0003,ration_card,kn,extraction,ವರ್ಗ?,EWS
F0003-r-elig-en,F0003,ration_card,en,reasoning,"Based on the income cap and household size rule, is this applicant eligible? Answer yes or no.",yes
F0003-r-elig-hi,F0003,ration_card,hi,reasoning,"आय सीमा और परिवार के आकार के नियम के आधार पर, क्या यह आवेदक पात्र है? हाँ या नहीं में उत्तर दें।",yes
F0003-r-elig-bn,F0003,ration_card,bn,reasoning,"আয়ের সীমা এবং পরিবারের আকারের নিয়ম অনুসারে, এই আবেদনকারী কি যোগ্য? হ্যাঁ বা না উত্তর দিন।",yes
F0003-r-elig-te,F0003,ration_card,te,reasoning,"ఆదాయ పరిమితి మరియు కుటుంబ పరిమాణ నియమం ఆధారంగా, ఈ దరఖాస్తుదారు అర్హులా? అవును లేదా కాదు అని సమాధానం ఇవ్వండి.",yes
F0003-r-elig-ta,F0003,ration_card,ta,reasoning,"வருமான வரம்பு மற்றும் குடும்ப அளவு விதியின் அடிப்படையில், இந்த விண்ணப்பதாரர் தகுதியானவரா? ஆம் அல்லது இல்லை என பதிலளிக்கவும்.",yes
F0003-r-elig-mr,F0003,ration_card,mr,reasoning,"उत्पन्न मर्यादा आणि कुटुंब आकाराच्या नियमानुसार, हा अर्जदार पात्र आहे का? होय किंवा नाही उत्तर द्या.",yes
F0003-r-elig-kn,F0003,ration_card,kn,reasoning,"ಆದಾಯ ಮಿತಿ ಮತ್ತು ಕುಟುಂಬ ಗಾತ್ರದ ನಿಯಮದ ಆಧಾರದ ಮೇಲೆ, ಈ ಅರ್ಜಿದಾರರು ಅರ್ಹರೇ? ಹೌದು ಅಥವಾ ಇಲ್ಲ ಎಂದು ಉತ್ತರಿಸಿ.",yes
F0004-x-applicant_name-en,F0004,ration_card,en,extraction,Applicant Name?,Anjali Patil
F0004-x-applicant_name-hi,F0004,ration_card,hi,extraction,आवेदक का नाम?,अंजली पाटील
F0004-x-applicant_name-bn,F0004,ration_card,bn,extraction,আবেদনকারীর নাম?,অঞ্জলি পাটিল
F0004-x-applicant_name-te,F0004,ration_card,te,extraction,దరఖాస్తుదారు పేరు?,అంజలి పాటిల్
F0004-x-applicant_name-ta,F0004,ration_card,ta,extraction,விண்ணப்பதாரர் பெயர்?,அஞ்சலி பாட்டீல்
F0004-x-applicant_name-mr,F0004,ration_card,mr,extraction,अर्जदाराचे नाव?,अंजली पाटील
F0004-x-applicant_name-kn,F0004,ration_card,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಅಂಜಲಿ ಪಾಟೀಲ್
F0004-x-district-en,F0004,ration_card,en,extraction,District?,Visakhapatnam
F0004-x-district-hi,F0004,ration_card,hi,extraction,जिला?,विशाखापत्तनम
F0004-x-district-bn,F0004,ration_card,bn,extraction,জেলা?,বিশাখাপত্তনম
F0004-x-district-te,F0004,ration_card,te,extraction,జిల్లా?,విశాఖపట్నం
F0004-x-district-ta,F0004,ration_card,ta,extraction,மாவட்டம்?,விசாகப்பட்டினம்
F0004-x-district-mr,F0004,ration_card,mr,extraction,जिल्हा?,विशाखापट्टणम
F0004-x-district-kn,F0004,ration_card,kn,extraction,ಜಿಲ್ಲೆ?,ವಿಶಾಖಪಟ್ಟಣಂ
F0004-x-annual_income-en,F0004,ration_card,en,extraction,Annual Income (Rs.)?,72000
F0004-x-annual_income-hi,F0004,ration_card,hi,extraction,वार्षिक आय (रु.)?,72000
F0004-x-annual_income-bn,F0004,ration_card,bn,extraction,বার্ষিক আয় (টাকা)?,72000
F0004-x-annual_income-te,F0004,ration_card,te,extraction,వార్షిక ఆదాయం (రూ.)?,72000
F0004-x-annual_income-ta,F0004,ration_card,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,72000
F0004-x-annual_income-mr,F0004,ration_card,mr,extraction,वार्षिक उत्पन्न (रु.)?,72000
F0004-x-annual_income-kn,F0004,ration_card,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,72000
F0004-x-family_members-en,F0004,ration_card,en,extraction,Number of Family Members?,4
F0004-x-family_members-hi,F0004,ration_card,hi,extraction,परिवार के सदस्यों की संख्या?,4
F0004-x-family_members-bn,F0004,ration_card,bn,extraction,পরিবারের সদস্য সংখ্যা?,4
F0004-x-family_members-te,F0004,ration_card,te,extraction,కుటుంబ సభ్యుల సంఖ్య?,4
F0004-x-family_members-ta,F0004,ration_card,ta,extraction,குடும்ப உறுப்பினர்கள் எண்ணிக்கை?,4
F0004-x-family_members-mr,F0004,ration_card,mr,extraction,कुटुंब सदस्यांची संख्या?,4
F0004-x-family_members-kn,F0004,ration_card,kn,extraction,ಕುಟುಂಬ ಸದಸ್ಯರ ಸಂಖ್ಯೆ?,4
F0004-x-category-en,F0004,ration_card,en,extraction,Category?,General
F0004-x-category-hi,F0004,ration_card,hi,extraction,श्रेणी?,General
F0004-x-category-bn,F0004,ration_card,bn,extraction,শ্রেণী?,General
F0004-x-category-te,F0004,ration_card,te,extraction,వర్గం?,General
F0004-x-category-ta,F0004,ration_card,ta,extraction,பிரிவு?,General
F0004-x-category-mr,F0004,ration_card,mr,extraction,प्रवर्ग?,General
F0004-x-category-kn,F0004,ration_card,kn,extraction,ವರ್ಗ?,General
F0004-r-elig-en,F0004,ration_card,en,reasoning,"Based on the income cap and household size rule, is this applicant eligible? Answer yes or no.",yes
F0004-r-elig-hi,F0004,ration_card,hi,reasoning,"आय सीमा और परिवार के आकार के नियम के आधार पर, क्या यह आवेदक पात्र है? हाँ या नहीं में उत्तर दें।",yes
F0004-r-elig-bn,F0004,ration_card,bn,reasoning,"আয়ের সীমা এবং পরিবারের আকারের নিয়ম অনুসারে, এই আবেদনকারী কি যোগ্য? হ্যাঁ বা না উত্তর দিন।",yes
F0004-r-elig-te,F0004,ration_card,te,reasoning,"ఆదాయ పరిమితి మరియు కుటుంబ పరిమాణ నియమం ఆధారంగా, ఈ దరఖాస్తుదారు అర్హులా? అవును లేదా కాదు అని సమాధానం ఇవ్వండి.",yes
F0004-r-elig-ta,F0004,ration_card,ta,reasoning,"வருமான வரம்பு மற்றும் குடும்ப அளவு விதியின் அடிப்படையில், இந்த விண்ணப்பதாரர் தகுதியானவரா? ஆம் அல்லது இல்லை என பதிலளிக்கவும்.",yes
F0004-r-elig-mr,F0004,ration_card,mr,reasoning,"उत्पन्न मर्यादा आणि कुटुंब आकाराच्या नियमानुसार, हा अर्जदार पात्र आहे का? होय किंवा नाही उत्तर द्या.",yes
F0004-r-elig-kn,F0004,ration_card,kn,reasoning,"ಆದಾಯ ಮಿತಿ ಮತ್ತು ಕುಟುಂಬ ಗಾತ್ರದ ನಿಯಮದ ಆಧಾರದ ಮೇಲೆ, ಈ ಅರ್ಜಿದಾರರು ಅರ್ಹರೇ? ಹೌದು ಅಥವಾ ಇಲ್ಲ ಎಂದು ಉತ್ತರಿಸಿ.",yes
F0005-x-applicant_name-en,F0005,scholarship,en,extraction,Applicant Name?,Arjun Nair
F0005-x-applicant_name-hi,F0005,scholarship,hi,extraction,आवेदक का नाम?,अर्जुन नायर
F0005-x-applicant_name-bn,F0005,scholarship,bn,extraction,আবেদনকারীর নাম?,অর্জুন নায়ার
F0005-x-applicant_name-te,F0005,scholarship,te,extraction,దరఖాస్తుదారు పేరు?,అర్జున్ నాయర్
F0005-x-applicant_name-ta,F0005,scholarship,ta,extraction,விண்ணப்பதாரர் பெயர்?,அர்ஜுன் நாயர்
F0005-x-applicant_name-mr,F0005,scholarship,mr,extraction,अर्जदाराचे नाव?,अर्जुन नायर
F0005-x-applicant_name-kn,F0005,scholarship,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಅರ್ಜುನ್ ನಾಯರ್
F0005-x-district-en,F0005,scholarship,en,extraction,District?,Nashik
F0005-x-district-hi,F0005,scholarship,hi,extraction,जिला?,नाशिक
F0005-x-district-bn,F0005,scholarship,bn,extraction,জেলা?,নাসিক
F0005-x-district-te,F0005,scholarship,te,extraction,జిల్లా?,నాసిక్
F0005-x-district-ta,F0005,scholarship,ta,extraction,மாவட்டம்?,நாசிக்
F0005-x-district-mr,F0005,scholarship,mr,extraction,जिल्हा?,नाशिक
F0005-x-district-kn,F0005,scholarship,kn,extraction,ಜಿಲ್ಲೆ?,ನಾಸಿಕ್
F0005-x-annual_income-en,F0005,scholarship,en,extraction,Annual Income (Rs.)?,96000
F0005-x-annual_income-hi,F0005,scholarship,hi,extraction,वार्षिक आय (रु.)?,96000
F0005-x-annual_income-bn,F0005,scholarship,bn,extraction,বার্ষিক আয় (টাকা)?,96000
F0005-x-annual_income-te,F0005,scholarship,te,extraction,వార్షిక ఆదాయం (రూ.)?,96000
F0005-x-annual_income-ta,F0005,scholarship,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,96000
F0005-x-annual_income-mr,F0005,scholarship,mr,extraction,वार्षिक उत्पन्न (रु.)?,96000
F0005-x-annual_income-kn,F0005,scholarship,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,96000
F0005-x-family_members-en,F0005,scholarship,en,extraction,Number of Family Members?,3
